File,RelativePath,Folder,Date,Date1,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,Method
07170455.JPG,NPR3-2-Nov2017\100EK113,NPR3,17-Jul-17,July,2:01:56,Dark,FALSE,Dark,FALSE,TRUE,0,FALSE,Caracal,TRUE
07240636.JPG,NPR3-2-Nov2017\100EK113,NPR3,24-Jul-17,July,10:55:55,Ok,FALSE,Sunny,FALSE,TRUE,17,FALSE,Cattle,TRUE
07300783.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jul-17,July,10:03:37,Ok,FALSE,Sunny,FALSE,TRUE,15,FALSE,Cattle,TRUE
10150701.JPG,NPR3-2-Nov2017\102EK113,NPR3,15-Oct-17,Oct,18:57:34,Ok,FALSE,Dark,FALSE,TRUE,15,FALSE,Dog,TRUE
10040395.JPG,NPR3-2-Nov2017\102EK113,NPR3,04-Oct-17,Oct,1:48:29,Dark,FALSE,Dark,FALSE,TRUE,13,FALSE,Eland,TRUE
10190787.JPG,NPR3-2-Nov2017\102EK113,NPR3,19-Oct-17,Oct,2:16:00,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE,Eland,TRUE
06290025.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-17,June,10:05:32,Ok,FALSE,Sunny,FALSE,TRUE,12,FALSE,Steenbok,TRUE
08190269.JPG,NPR3-2-Nov2017\101EK113,NPR3,19-Aug-17,August,9:03:06,Ok,FALSE,Sunny,FALSE,TRUE,7,FALSE,Steenbok,TRUE
08230366.JPG,NPR3-2-Nov2017\101EK113,NPR3,23-Aug-17,August,9:19:16,Ok,FALSE,Sunny,FALSE,TRUE,10,FALSE,Steenbok,TRUE
09160956.JPG,NPR3-2-Nov2017\101EK113,NPR3,16-Sep-17,Sept,8:37:38,Ok,FALSE,Sunny,FALSE,TRUE,11,FALSE,Steenbok,TRUE
10070480.JPG,NPR3-2-Nov2017\102EK113,NPR3,07-Oct-17,Oct,7:39:21,Ok,FALSE,Sunny,FALSE,TRUE,10,FALSE,Steenbok,TRUE
10080521.JPG,NPR3-2-Nov2017\102EK113,NPR3,08-Oct-17,Oct,22:15:12,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE,Steenbok,TRUE
10160713.JPG,NPR3-2-Nov2017\102EK113,NPR3,16-Oct-17,Oct,5:30:30,Ok,FALSE,Dark,FALSE,TRUE,7,FALSE,Steenbok,TRUE
11050229.JPG,NPR3-2-Nov2017\103EK113,NPR3,05-Nov-17,Nov,6:50:11,Ok,FALSE,Shade,FALSE,TRUE,12,FALSE,Steenbok,TRUE
06280010.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-17,June,20:31:24,Dark,FALSE,Dark,FALSE,TRUE,5,FALSE,Unidentified,TRUE
07070232.JPG,NPR3-2-Nov2017\100EK113,NPR3,07-Jul-17,July,22:01:52,Dark,FALSE,Dark,FALSE,TRUE,17,FALSE,Unidentified,TRUE
07080258.JPG,NPR3-2-Nov2017\100EK113,NPR3,08-Jul-17,July,22:32:44,Dark,FALSE,Dark,FALSE,TRUE,17,FALSE,Unidentified,TRUE
07180500.JPG,NPR3-2-Nov2017\100EK113,NPR3,18-Jul-17,July,21:02:07,Dark,FALSE,Dark,FALSE,TRUE,6,FALSE,Unidentified,TRUE
07200548.JPG,NPR3-2-Nov2017\100EK113,NPR3,20-Jul-17,July,20:51:27,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE,Unidentified,TRUE
08100043.JPG,NPR3-2-Nov2017\101EK113,NPR3,10-Aug-17,August,4:44:06,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE,Unidentified,TRUE
08140157.JPG,NPR3-2-Nov2017\101EK113,NPR3,14-Aug-17,August,19:31:06,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE,Unidentified,TRUE
09040667.JPG,NPR3-2-Nov2017\101EK113,NPR3,04-Sep-17,Sept,18:46:32,Dark,FALSE,Dark,FALSE,TRUE,28,FALSE,Unidentified,TRUE
10130653.JPG,NPR3-2-Nov2017\102EK113,NPR3,13-Oct-17,Oct,22:29:38,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE,Unidentified,TRUE
10270019.JPG,NPR3-2-Nov2017\103EK113,NPR3,27-Oct-17,Oct,22:12:15,Dark,FALSE,Dark,FALSE,TRUE,8,FALSE,Unidentified,TRUE
11020171.JPG,NPR3-2-Nov2017\103EK113,NPR3,02-Nov-17,Nov,21:05:46,Dark,FALSE,Dark,FALSE,TRUE,21,FALSE,Unidentified,TRUE
