Species,Station,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger
Baboon,NPR1,05-Mar-18,10:07:21,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE
Baboon,NPR1,08-Mar-18,7:31:24,Ok,FALSE,Shade,TRUE,TRUE,15,FALSE
Jackal,NPR1,08-Mar-18,1:20:47,Dark,FALSE,Dark,TRUE,TRUE,16,FALSE
Baboon,NPR1,09-Mar-18,15:35:13,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE
Baboon,NPR1,09-Mar-18,19:00:28,Dark,FALSE,Dark,TRUE,TRUE,22,FALSE
Baboon,NPR1,10-Mar-18,7:05:12,Ok,FALSE,Shade,TRUE,TRUE,15,FALSE
Baboon,NPR1,10-Mar-18,14:39:35,Ok,FALSE,Shade,TRUE,TRUE,28,FALSE
Baboon,NPR1,10-Mar-18,15:44:05,Ok,FALSE,Shade,TRUE,TRUE,28,FALSE
Baboon,NPR1,12-Mar-18,7:08:58,Ok,FALSE,Shade,TRUE,TRUE,12,FALSE
Baboon,NPR1,13-Mar-18,15:02:14,Ok,FALSE,Shade,TRUE,TRUE,36,FALSE
Baboon,NPR1,13-Mar-18,16:05:59,Dark,FALSE,Shade,TRUE,TRUE,38,FALSE
Baboon,NPR1,13-Mar-18,18:09:48,Ok,FALSE,Shade,TRUE,TRUE,27,FALSE
Kudu,NPR1,13-Mar-18,22:33:52,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE
Baboon,NPR1,14-Mar-18,16:35:55,Ok,FALSE,Shade,TRUE,TRUE,30,FALSE
Kudu,NPR1,15-Mar-18,18:26:43,Ok,FALSE,Shade,TRUE,TRUE,13,FALSE
Baboon,NPR1,17-Mar-18,13:06:23,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE
Jackal,NPR1,17-Mar-18,9:02:01,Ok,FALSE,Shade,TRUE,TRUE,15,FALSE
Jackal,NPR1,18-Mar-18,20:27:23,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE
Jackal,NPR1,19-Mar-18,23:13:35,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Jackal,NPR1,22-Mar-18,1:10:51,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Baboon,NPR1,23-Mar-18,17:50:35,Ok,FALSE,Shade,TRUE,TRUE,31,FALSE
Baboon,NPR1,28-Mar-18,17:24:01,Ok,FALSE,Shade,TRUE,TRUE,31,FALSE
Baboon,NPR1,28-Mar-18,18:32:10,Ok,FALSE,Shade,TRUE,TRUE,28,FALSE
Eland,NPR1,28-Mar-18,7:22:17,Ok,FALSE,Sunny,TRUE,TRUE,12,FALSE
Jackal,NPR1,28-Mar-18,8:30:43,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE
Klipspringer,NPR1,29-Mar-18,16:20:27,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE
Jackal,NPR1,01-Apr-18,4:02:13,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE
Baboon,NPR1,02-Apr-18,17:13:37,Ok,FALSE,Shade,TRUE,TRUE,25,FALSE
Jackal,NPR1,02-Apr-18,0:10:39,Dark,FALSE,Dark,TRUE,TRUE,20,FALSE
Jackal,NPR1,04-Apr-18,9:32:50,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE
Baboon,NPR1,05-Apr-18,18:39:47,Dark,FALSE,Dark,TRUE,TRUE,25,FALSE
Baboon,NPR1,07-Apr-18,17:52:41,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE
Steenbok,NPR1,09-Apr-18,12:06:07,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE
Baboon,NPR1,11-Apr-18,17:37:05,Ok,FALSE,Sunny,TRUE,TRUE,21,FALSE
Baboon,NPR1,12-Apr-18,16:18:09,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE
